proc /proc proc rw,relatime 0 0
sysfs /sys sysfs rw,relatime 0 0
none /dev devtmpfs rw,relatime,size=978616k,nr_inodes=244654,mode=755 0 0
/dev/mmcblk0p5 / ext4 rw,noatime,nodiratime,nobarrier,noauto_da_alloc,data=ordered 0 0
tmpfs /run tmpfs rw,nosuid,nodev,relatime,mode=755 0 0
tmpfs /tmp tmpfs rw,relatime 0 0
rootfs /sbin/dani-root-init rootfs rw 0 0
rootfs /opt/muos/bin/dani-launcher rootfs rw 0 0
devpts /dev/pts devpts rw,relatime,mode=600,ptmxmode=000 0 0
tmpfs /dev/shm tmpfs rw,relatime 0 0
debugfs /sys/kernel/debug debugfs rw,relatime 0 0
/dev/mmcblk0p6 /mnt/mmc exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /mnt/union/ROMS exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /mnt/union/ports exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/application exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/bios exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/init exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/track exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/music exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/save exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/theme exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/catalogue exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/name exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/collection exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/history exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/info/override exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/network exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/screenshot exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
/dev/mmcblk0p6 /run/muos/storage/syncthing exfat rw,noatime,fmask=0022,dmask=0022,iocharset=utf8,namecase=0,errors=remount-ro 0 0
