section	category	display_name	relative_path	launcher	core
PLAY	ATARI 2600	2005 MINIGAME MULTICART (USA) (UNL)	ROMS/A2600/2005 Minigame Multicart (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	3-D TIC-TAC-TOE (USA)	ROMS/A2600/3-D Tic-Tac-Toe (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	32 IN 1 GAME CARTRIDGE (EUROPE)	ROMS/A2600/32 in 1 Game Cartridge (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	A-VCS-TEC CHALLENGE (USA) (UNL)	ROMS/A2600/A-VCS-tec Challenge (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ACID DROP (EUROPE)	ROMS/A2600/Acid Drop (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ACTIONAUTS (USA) (PROTO)	ROMS/A2600/Actionauts (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALIEN GREED (USA) (UNL)	ROMS/A2600/Alien Greed (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALIEN GREED 2 (USA) (UNL)	ROMS/A2600/Alien Greed 2 (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALIEN GREED 3 (USA) (UNL)	ROMS/A2600/Alien Greed 3 (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALLIA QUEST (FRANCE) (UNL)	ROMS/A2600/Allia Quest (France) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALLIGATOR PEOPLE, THE (USA) (PROTO)	ROMS/A2600/Alligator People, The (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ALPHA BEAM WITH ERNIE (USA)	ROMS/A2600/Alpha Beam with Ernie (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	AMIDAR (USA)	ROMS/A2600/Amidar (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	AQUAVENTURE (USA) (PROTO)	ROMS/A2600/Aquaventure (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ATOM SMASHER (USA) (PROTO)	ROMS/A2600/Atom Smasher (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	AVGN K.O. BOXING (USA) (UNL)	ROMS/A2600/AVGN K.O. Boxing (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BOWLING (USA)	ROMS/A2600/Bowling (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BOXING (USA)	ROMS/A2600/Boxing (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BRAIN GAMES (USA)	ROMS/A2600/Brain Games (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BREAKOUT (USA)	ROMS/A2600/Breakout (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BRIDGE (USA)	ROMS/A2600/Bridge (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BUCK ROGERS - PLANET OF ZOOM (USA)	ROMS/A2600/Buck Rogers - Planet of Zoom (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BUGS (USA)	ROMS/A2600/Bugs (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BUGS BUNNY (USA) (PROTO)	ROMS/A2600/Bugs Bunny (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BUMP 'N' JUMP (USA)	ROMS/A2600/Bump 'n' Jump (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BUMPER BASH (USA)	ROMS/A2600/Bumper Bash (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	BURGERTIME (USA)	ROMS/A2600/BurgerTime (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CHECKERS (USA)	ROMS/A2600/Checkers (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CHINA SYNDROME (USA)	ROMS/A2600/China Syndrome (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CHOPPER COMMAND (USA)	ROMS/A2600/Chopper Command (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COLONY 7 (USA) (UNL)	ROMS/A2600/Colony 7 (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COMBAT (USA)	ROMS/A2600/Combat (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COMBAT TWO (USA) (PROTO)	ROMS/A2600/Combat Two (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COMMANDO (USA)	ROMS/A2600/Commando (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COMMANDO RAID (USA)	ROMS/A2600/Commando Raid (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COMPUTER CHESS (USA) (PROTO)	ROMS/A2600/Computer Chess (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CONDOR ATTACK (USA)	ROMS/A2600/Condor Attack (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CONFRONTATION (USA) (PROTO)	ROMS/A2600/Confrontation (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CONGO BONGO (USA)	ROMS/A2600/Congo Bongo (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CONQUEST OF MARS (USA) (UNL)	ROMS/A2600/Conquest of Mars (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
